"CasId","CodCadenaTv","Nombre","Logo","PuntoReproduccion","FormatoVideo"
"4521","TVE","LA 1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TVE","http://tvela1-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4522","LA2","LA 2","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/LA2","http://la2-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4523","A3","Antena 3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/A3","http://antena3-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4524","C4","Cuatro","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/C4","http://cuatro-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4525","T5","Telecinco","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/T5","http://tele5-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4526","SEXTA","La Sexta","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/SEXTA","http://lasexta-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5240","MPLUS","Movistar Plus+","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MPLUS","http://mplus-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4767","VAMOSD","M+ Vamos","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/VAMOSD","http://vamos-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5090","ARAGTV","Aragón TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ARAGTV","http://tdttvaragon-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4980","CANSUR","Canal Sur","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CANSUR","http://tdtcsur-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4982","TV3CAT","TV3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TV3CAT","http://tdttv3-dash-movistarplus.emisiondof6.com/manifest.mpd","SD"
"5089","CANAR","TV Canaria","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CANAR","http://tdttvcanarias-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5265","CASMAN","Castilla la Mancha TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CASMAN","http://tdtcastmancha-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5266","CYLTV","La 7","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/CYLTV","http://tdtcastleon-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5357","EXTRE","Canal Extremadura","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/EXTRE","http://tdtextremad-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4983","TVGAL","TVG -TV Galicia","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TVGAL","http://tdt1galicia-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5091","IB3","IB3","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/IB3","http://tdt3ibiza-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4981","TELMAD","Telemadrid","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/TELMAD","http://tdttelemadrid-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5088","APUNT","À Punt","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/APUNT","http://tdtapuntvalencia-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5356","7TVMUR","7 TV Región Murcia","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/7TVMUR","http://tdtmurcia-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5074","ETB1","ETB 1","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/ETB1","http://tdt1etb-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"5210","NAVA","Navarra TV","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/NAVA","http://tdtnavarra-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
"4501","MV1","M+ Estrenos","https://estatico.emisiondof6.com/recorte/m-NEONEGR/wpmarcaficha/MV1","http://m1estrenos-dash-movistarplus.emisiondof6.com/manifest.mpd","HD"
